Sno,Movie Name,Director1,Director2,Director3,Duration,Year,Ratings,Metascore
329,Princess Mononoke,Hayao Miyazaki,-,-,134 min,1997,8.3,76        
330,North by Northwest,Alfred Hitchcock,-,-,136 min,1959,8.3,98        
331,Dangal,Nitesh Tiwari,-,-,161 min,2016,8.3,-
332,Kantara,Rishab Shetty,-,-,148 min,2022,8.3,-
333,K.G.F: Chapter 2,Prashanth Neel,-,-,168 min,2022,8.3,-
334,Vikram,Lokesh Kanagaraj,-,-,175 min,2022,8.3,-
335,Shershaah,Vishnuvardhan,-,-,135 min,2021,8.3,-
336,Raatchasan,Ram Kumar,-,-,170 min,2018,8.3,-
337,Indiana Jones and the Last Crusade,Steven Spielberg,-,-,127 min,1989,8.2,65        
338,Spider-Man: No Way Home,Jon Watts,-,-,148 min,2021,8.2,71        
339,Jurassic Park,Steven Spielberg,-,-,127 min,1993,8.2,68        
340,Batman Begins,Christopher Nolan,-,-,140 min,2005,8.2,70        
341,1917,Sam Mendes,-,-,119 min,2019,8.2,78        
342,Die Hard,John McTiernan,-,-,132 min,1988,8.2,72        
343,Kill Bill: Vol. 1,Quentin Tarantino,-,-,111 min,2003,8.2,69        
344,V for Vendetta,James McTeigue,-,-,132 min,2005,8.2,62        
345,Ran,Akira Kurosawa,-,-,162 min,1985,8.2,97        
